id,description,amount,category,merchant,carbon_kg,date,confidence
29,Delta Airlines #4265,18.28,Transportation,Delta Airlines,12.0,2025-02-08,0.9171647886340479
30,Target #3266 NY,151.34,Shopping,Target,24.22,2024-10-18,0.9107190849412414
31,Netflix #9531 TX,91.02,Entertainment,Netflix,8.23,2024-09-21,0.7810671609880098
32,ConEd Utility #6879 CA,66.89,Energy,ConEd Utility,28.55,2024-08-16,0.8299911770155811
33,Best Buy #1477,132.46,Shopping,Best Buy,30.94,2025-01-04,0.7939061115221643
34,PG&E Electric #6844 TX,76.67,Energy,PG&E Electric,30.76,2025-06-18,0.700442181757952
35,Spotify #9947 CA,77.02,Entertainment,Spotify,6.94,2024-11-24,0.9883375485773673
36,Starbucks #3646,80.28,Food,Starbucks,24.95,2025-03-06,0.8255718144923555
37,Apple Store #4034,17.62,Shopping,Apple Store,3.79,2025-03-10,0.8284306342710777
38,Shell Gas Station #5450,151.16,Transportation,Shell Gas Station,118.56,2024-10-29,0.8952672585598913
39,Safeway #3358 TX,109.66,Food,Safeway,27.68,2025-05-20,0.7628647260191387
40,PG&E Electric #2070 CA,61.12,Energy,PG&E Electric,27.14,2025-04-08,0.9265482168041373
41,Duke Energy #1391 NY,106.62,Energy,Duke Energy,35.5,2024-09-08,0.7686326911388107
42,Uber #7067,63.22,Transportation,Uber,54.8,2024-07-22,0.7160319732965735
43,Starbucks #8149,26.75,Food,Starbucks,8.25,2024-11-07,0.7499434712154386
44,Delta Airlines #7006,87.78,Transportation,Delta Airlines,78.2,2025-04-10,0.7114163884402023
45,Amazon #8170,333.27,Shopping,Amazon,73.1,2024-07-23,0.83654939751966
46,Netflix #8040 CA,82.98,Entertainment,Netflix,8.34,2025-02-28,0.9701982133040917
47,Duke Energy #2538,204.18,Energy,Duke Energy,66.34,2025-03-23,0.7094730722468625
48,Safeway #5755,83.13,Food,Safeway,25.67,2024-09-30,0.9832124660837519
49,Starbucks #7401 TX,82.45,Food,Starbucks,22.04,2024-08-15,0.9500404660296555
50,Shell Gas Station #1799,44.32,Transportation,Shell Gas Station,28.48,2025-03-22,0.8360965079140216
51,PG&E Electric #2019,184.04,Energy,PG&E Electric,87.91,2024-11-06,0.945842923354999
52,Chevron #2907 TX,99.67,Transportation,Chevron,66.78,2024-12-12,0.8621216152409604
53,Netflix #2329,56.06,Entertainment,Netflix,5.29,2024-09-03,0.9964741628318694
54,Shell Gas Station #6646 TX,56.74,Transportation,Shell Gas Station,46.4,2024-11-24,0.937710739215424
55,Target #3599,312.46,Shopping,Target,72.2,2024-08-12,0.813721491644871
56,Starbucks #2112,100.8,Food,Starbucks,36.05,2025-05-04,0.7697424162003175
57,Apple Store #4815 CA,36.54,Shopping,Apple Store,8.42,2024-09-15,0.8792271560246113
58,PG&E Electric #4304,269.26,Energy,PG&E Electric,111.15,2024-08-16,0.8749472685323585
59,Netflix #4889 NY,19.14,Entertainment,Netflix,2.23,2024-06-22,0.8157580181044171
60,Chevron #7637,155.6,Transportation,Chevron,134.81,2024-12-11,0.7442243594121447
61,Spotify #3536 NY,46.53,Entertainment,Spotify,4.72,2025-03-17,0.8680756215464887
62,Spotify #2809,60.09,Entertainment,Spotify,6.1,2025-06-11,0.9980287455507815
63,Safeway #6209,130.62,Food,Safeway,36.7,2025-06-16,0.7985322440777948
64,Amazon #7937,69.02,Shopping,Amazon,15.62,2025-06-05,0.8917690660298865
65,Shell Gas Station #7720,34.86,Transportation,Shell Gas Station,27.01,2024-11-09,0.7626911081536136
66,PG&E Electric #1796,271.43,Energy,PG&E Electric,108.06,2024-06-22,0.7220252000357152
67,Apple Store #6433,362.05,Shopping,Apple Store,71.87,2024-12-19,0.912607386718344
68,Best Buy #4150,446.16,Shopping,Best Buy,76.33,2025-05-14,0.9985211117832531
69,AMC Theaters #5562,50.6,Entertainment,AMC Theaters,5.64,2024-07-28,0.8687958183300198
70,Netflix #4744 CA,88.27,Entertainment,Netflix,8.58,2024-12-10,0.7812070354941376
71,Target #5563,203.32,Shopping,Target,44.81,2024-08-14,0.8968347977219
72,Apple Store #7481,498.49,Shopping,Apple Store,109.55,2024-08-08,0.8358226123365868
73,PG&E Electric #1433,50.62,Energy,PG&E Electric,22.82,2025-05-24,0.8405401521750878
74,Shell Gas Station #5832 NY,165.1,Transportation,Shell Gas Station,133.37,2024-08-22,0.7948931738673831
75,Subway #1743 TX,122.82,Food,Subway,40.23,2024-10-14,0.9282149146760108
76,Chevron #4960,148.31,Transportation,Chevron,113.32,2024-09-17,0.9589365029000512
77,Subway #8293 NY,122.76,Food,Subway,31.39,2024-10-25,0.9851230022080364
78,Spotify #6844,54.42,Entertainment,Spotify,5.37,2024-09-25,0.8402130474001668
79,Starbucks #4422,82.39,Food,Starbucks,26.73,2024-07-05,0.9378106274590952
80,Starbucks #8634 CA,113.57,Food,Starbucks,39.24,2024-06-28,0.812992151593201
81,ConEd Utility #2887 TX,123.26,Energy,ConEd Utility,43.24,2025-06-04,0.7948963091493804
82,Delta Airlines #9267 NY,63.68,Transportation,Delta Airlines,42.49,2024-10-12,0.9114532892837632
83,Safeway #4549,148.75,Food,Safeway,49.57,2025-02-26,0.9925205306058783
84,AMC Theaters #1557 CA,61.27,Entertainment,AMC Theaters,5.53,2024-08-03,0.9950611666486738
85,Amazon #6748,170.67,Shopping,Amazon,37.04,2025-02-08,0.8970696537703324
86,AMC Theaters #6267 NY,98.54,Entertainment,AMC Theaters,9.96,2024-07-12,0.7600236416408596
87,Safeway #6128,64.93,Food,Safeway,17.38,2024-07-24,0.846529699934606
88,Spotify #1161,31.45,Entertainment,Spotify,3.39,2025-05-13,0.9938644058412387
89,Subway #4972,78.57,Food,Subway,26.11,2025-01-10,0.8401501847871065
90,ConEd Utility #8693 CA,204.88,Energy,ConEd Utility,80.02,2024-11-14,0.7873472191300872
91,Apple Store #2216,176.25,Shopping,Apple Store,29.9,2025-05-23,0.847468839205397
92,PG&E Electric #3175 CA,96.1,Energy,PG&E Electric,45.07,2024-10-18,0.7920694224409429
93,Amazon #1426,29.08,Shopping,Amazon,5.81,2025-02-08,0.849971400757946
94,Netflix #3093,60.15,Entertainment,Netflix,5.93,2024-08-21,0.7806919577952636
95,AMC Theaters #7100 CA,15.68,Entertainment,AMC Theaters,1.26,2025-05-24,0.9796106813591281
96,Shell Gas Station #7264,150.9,Transportation,Shell Gas Station,107.57,2024-10-27,0.7653373924703832
97,Whole Foods #6227,85.81,Food,Whole Foods,20.97,2024-06-25,0.8592527924289861
98,Delta Airlines #2696 TX,129.55,Transportation,Delta Airlines,114.05,2024-07-20,0.8743613591830413
99,Spotify #4272,60.35,Entertainment,Spotify,5.53,2024-10-13,0.7548937123814818
100,Target #3950,357.18,Shopping,Target,64.98,2025-04-27,0.7076931306070618
101,Apple Store #9261,83.51,Shopping,Apple Store,16.29,2024-08-25,0.8075558039438735
102,Safeway #8072 CA,43.43,Food,Safeway,10.88,2025-05-28,0.8812064711387165
103,Safeway #6175,116.21,Food,Safeway,31.59,2024-09-17,0.8205091298191818
104,Spotify #2434,47.74,Entertainment,Spotify,4.45,2024-12-21,0.940752062919612
105,Duke Energy #5233,114.96,Energy,Duke Energy,46.02,2025-02-13,0.9347504601097164
106,Netflix #3503,13.17,Entertainment,Netflix,1.44,2024-07-31,0.7370700508291067
107,Amazon #5266,396.66,Shopping,Amazon,80.84,2025-02-15,0.8264453671960637
108,AMC Theaters #8119,23.27,Entertainment,AMC Theaters,2.51,2025-05-03,0.9153556484463141
109,ConEd Utility #3026,186.29,Energy,ConEd Utility,87.4,2024-12-26,0.9515186526298134
110,Best Buy #7002,24.3,Shopping,Best Buy,4.88,2024-07-09,0.817123030713713
111,Starbucks #3070 CA,13.29,Food,Starbucks,4.4,2025-01-09,0.9378799599224987
112,Chevron #4906 NY,172.72,Transportation,Chevron,124.53,2025-06-16,0.8046637964419736
113,Uber #7387,153.18,Transportation,Uber,126.55,2025-01-14,0.7011130306860444
114,AMC Theaters #9187,54.98,Entertainment,AMC Theaters,5.82,2025-05-03,0.9974072268189461
115,Chevron #1752 CA,28.44,Transportation,Chevron,26.87,2024-11-22,0.8311119717993498
116,PG&E Electric #1394,286.62,Energy,PG&E Electric,128.47,2024-12-03,0.9565389811223667
117,Netflix #4579 NY,45.12,Entertainment,Netflix,4.0,2025-06-02,0.8011752182589917
118,Safeway #1911 NY,143.58,Food,Safeway,42.61,2024-12-16,0.7846386196664484
119,Spotify #7077,89.52,Entertainment,Spotify,8.45,2024-07-24,0.722490624411179
120,Whole Foods #1510,114.38,Food,Whole Foods,40.52,2024-09-29,0.974939384139379
121,Spotify #6641,48.89,Entertainment,Spotify,5.5,2025-06-08,0.798816250691083
122,Shell Gas Station #2818,112.93,Transportation,Shell Gas Station,92.98,2024-10-28,0.842188849737996
123,Uber #8554,86.47,Transportation,Uber,56.1,2024-09-14,0.8507987870402643
124,Spotify #2158,27.91,Entertainment,Spotify,2.77,2025-03-28,0.7401939689518382
125,Best Buy #1178,144.77,Shopping,Best Buy,29.21,2025-03-19,0.7178241893854194
126,Subway #4755,141.21,Food,Subway,42.25,2025-01-03,0.9264133717741161
127,Safeway #1076,133.66,Food,Safeway,38.19,2024-12-16,0.7679190699890895
128,Whole Foods #7869,41.71,Food,Whole Foods,14.64,2025-05-13,0.7335457535917101
129,Safeway #8809 CA,83.87,Food,Safeway,20.31,2025-03-08,0.9366827052396647
130,Target #2239,176.86,Shopping,Target,38.55,2024-08-04,0.7691854681069702
131,Apple Store #6684 CA,444.33,Shopping,Apple Store,77.49,2025-03-09,0.8879758978354273
132,Lyft #2172,38.99,Transportation,Lyft,32.98,2024-06-25,0.917765321049836
133,Spotify #8484,18.23,Entertainment,Spotify,1.75,2024-08-05,0.7968550828902058
134,AMC Theaters #7005,83.84,Entertainment,AMC Theaters,7.15,2025-06-05,0.7857861999385916
135,Lyft #8250,117.9,Transportation,Lyft,111.1,2024-11-11,0.9170042635497151
136,AMC Theaters #2139 NY,19.72,Entertainment,AMC Theaters,2.36,2024-11-10,0.8850604097405455
137,Chevron #4589,56.29,Transportation,Chevron,37.02,2024-08-15,0.8827106208733079
138,Safeway #1053,116.04,Food,Safeway,38.31,2024-09-30,0.7165888951861885
139,Safeway #7191,93.99,Food,Safeway,31.51,2025-01-30,0.893810908080869
140,Lyft #6328,165.64,Transportation,Lyft,134.95,2024-10-23,0.7087903450680397
141,Whole Foods #4025 CA,146.07,Food,Whole Foods,44.93,2024-07-16,0.7731574180808894
142,ConEd Utility #7628 CA,278.08,Energy,ConEd Utility,119.87,2025-05-13,0.7270784155911493
143,AMC Theaters #4204,27.68,Entertainment,AMC Theaters,3.18,2025-01-10,0.7576587383883205
144,Duke Energy #1247,85.7,Energy,Duke Energy,32.85,2024-10-08,0.9685989046677994
145,AMC Theaters #8940 CA,72.95,Entertainment,AMC Theaters,7.14,2025-04-03,0.8974586476880617
146,Netflix #6836,35.13,Entertainment,Netflix,4.06,2024-08-16,0.9787103428034908
147,Spotify #8679 TX,65.34,Entertainment,Spotify,7.36,2025-05-07,0.9034709805684856
148,Best Buy #8490,44.86,Shopping,Best Buy,9.24,2025-03-24,0.8261023384314199
149,Chevron #5316,100.54,Transportation,Chevron,65.53,2024-09-06,0.710622596877521
150,Uber #3945,40.14,Transportation,Uber,32.46,2025-05-15,0.707646069179387
151,McDonalds #6112,52.79,Food,McDonalds,18.99,2024-06-28,0.8533993226273051
152,Amazon #7486 NY,270.94,Shopping,Amazon,43.49,2024-09-02,0.804664851079472
153,Delta Airlines #1512,146.12,Transportation,Delta Airlines,102.91,2025-02-17,0.8568131441939659
154,Uber #1220,182.13,Transportation,Uber,132.39,2025-05-27,0.8743952565430265
155,Delta Airlines #5281,77.51,Transportation,Delta Airlines,60.62,2024-09-18,0.865517581445639
156,PG&E Electric #8946,285.11,Energy,PG&E Electric,92.52,2025-04-28,0.7857973790325322
157,Duke Energy #2953,95.85,Energy,Duke Energy,38.8,2024-10-17,0.8010703222280381
158,Apple Store #1714,359.06,Shopping,Apple Store,73.81,2025-05-10,0.8095440493419652
159,Spotify #8045 NY,87.5,Entertainment,Spotify,8.96,2024-11-16,0.7107854222008855
160,ConEd Utility #6638,200.93,Energy,ConEd Utility,82.51,2024-12-11,0.845771274538526
161,Subway #7432 CA,48.58,Food,Subway,13.71,2025-03-02,0.8275952087044609
162,Starbucks #2061,25.54,Food,Starbucks,9.14,2024-12-25,0.7244403036599362
163,Subway #3265,104.23,Food,Subway,34.52,2024-10-07,0.8455191418440949
164,Lyft #6982,145.29,Transportation,Lyft,101.67,2025-03-14,0.8673097999785371
165,Lyft #2762,187.1,Transportation,Lyft,151.18,2025-04-23,0.9442510648402467
166,Lyft #3649 TX,108.66,Transportation,Lyft,95.74,2024-09-19,0.706546631211536
167,Apple Store #7196 NY,230.79,Shopping,Apple Store,45.44,2025-01-28,0.9810345076909983
168,Duke Energy #8517,68.94,Energy,Duke Energy,28.13,2024-11-05,0.9500147488483022
169,Delta Airlines #9140,88.17,Transportation,Delta Airlines,62.87,2024-12-27,0.9158883088465681
170,Netflix #2296 TX,43.09,Entertainment,Netflix,4.01,2025-05-22,0.8799639016377975
171,Safeway #3596 CA,149.71,Food,Safeway,53.63,2024-07-22,0.7362770301617539
172,Subway #3468 TX,111.63,Food,Subway,26.82,2024-06-30,0.7186226063584816
173,Uber #8338,87.6,Transportation,Uber,58.09,2025-02-03,0.9274541904149063
174,Duke Energy #4239,289.68,Energy,Duke Energy,104.07,2025-05-03,0.8690632534304256
175,Safeway #6418,54.28,Food,Safeway,14.01,2025-03-11,0.9432271036252824
176,Shell Gas Station #5372,53.75,Transportation,Shell Gas Station,49.18,2025-04-11,0.9936891289812297
177,Delta Airlines #4287,69.8,Transportation,Delta Airlines,66.61,2025-05-28,0.7415672810598546
178,Shell Gas Station #7329,37.96,Transportation,Shell Gas Station,29.49,2024-07-24,0.7482051767486132
179,Safeway #7355,58.99,Food,Safeway,19.22,2024-12-23,0.7721621588743679
180,Delta Airlines #2446 CA,159.41,Transportation,Delta Airlines,128.38,2024-11-07,0.911186944633331
181,PG&E Electric #2643,216.7,Energy,PG&E Electric,86.57,2024-10-07,0.758549945789235
182,Best Buy #1374,163.26,Shopping,Best Buy,28.15,2025-03-03,0.8827274775698131
183,Best Buy #3582 NY,202.19,Shopping,Best Buy,43.58,2024-08-14,0.8588520717928025
184,Duke Energy #2092,211.52,Energy,Duke Energy,88.28,2024-09-29,0.7710854239680567
185,Uber #1238,88.18,Transportation,Uber,62.17,2025-04-14,0.776847600254882
186,Target #2743 CA,44.87,Shopping,Target,8.53,2025-04-21,0.9060324358209061
187,ConEd Utility #3446,94.89,Energy,ConEd Utility,37.48,2025-03-13,0.7314286818320599
188,Netflix #7859,62.52,Entertainment,Netflix,6.25,2025-03-22,0.9961311959769867
189,PG&E Electric #4018,175.64,Energy,PG&E Electric,74.56,2025-04-17,0.8106071880477704
190,ConEd Utility #7683 NY,109.68,Energy,ConEd Utility,45.73,2024-07-07,0.7848275216222231
191,Spotify #7052,41.84,Entertainment,Spotify,4.46,2025-03-07,0.8539370582280341
192,ConEd Utility #3343 NY,105.75,Energy,ConEd Utility,48.82,2024-07-25,0.7419073662754707
193,ConEd Utility #7478,211.65,Energy,ConEd Utility,80.34,2025-04-10,0.8832792036944214
194,ConEd Utility #3376,135.74,Energy,ConEd Utility,55.52,2024-12-01,0.9445111024712125
195,Apple Store #1194,360.56,Shopping,Apple Store,73.31,2024-09-15,0.7180984120809745
196,Netflix #8553,81.46,Entertainment,Netflix,9.28,2024-12-08,0.9837332395991724
197,PG&E Electric #4521 NY,73.44,Energy,PG&E Electric,28.71,2025-06-05,0.8197910298488336
198,Amazon #7708 CA,215.46,Shopping,Amazon,38.14,2024-12-26,0.7733669044146724
199,Spotify #4117,47.08,Entertainment,Spotify,4.93,2024-07-12,0.974098345303685
200,Shell Gas Station #9190,161.68,Transportation,Shell Gas Station,123.37,2024-11-17,0.9944315706360944
201,AMC Theaters #1826 NY,76.08,Entertainment,AMC Theaters,7.46,2024-09-07,0.8630034745695969
202,Lyft #2434 TX,82.87,Transportation,Lyft,57.13,2024-09-13,0.830467221892061
203,Shell Gas Station #2239,143.44,Transportation,Shell Gas Station,120.92,2024-07-22,0.9882947302070656
204,Duke Energy #2132,215.45,Energy,Duke Energy,74.58,2024-10-06,0.785183399119058
205,Whole Foods #2655 CA,111.0,Food,Whole Foods,28.46,2024-07-09,0.9026038020812216
206,Netflix #8449 CA,55.66,Entertainment,Netflix,4.79,2024-09-27,0.7080244329604285
207,Chevron #2095 NY,17.63,Transportation,Chevron,14.15,2024-09-16,0.9756824713254669
208,Safeway #2068,95.33,Food,Safeway,30.74,2025-02-18,0.823109788348724
209,Subway #2962,88.95,Food,Subway,25.73,2024-10-13,0.7806603732539015
210,Starbucks #3304,143.16,Food,Starbucks,45.55,2025-04-30,0.7158480750753837
211,Lyft #4261,87.75,Transportation,Lyft,67.12,2024-08-18,0.9744125243305792
212,ConEd Utility #3688,221.34,Energy,ConEd Utility,101.46,2024-12-23,0.7840191163938198
213,Shell Gas Station #5430,152.47,Transportation,Shell Gas Station,143.05,2025-04-08,0.7227633958876871
214,Spotify #5860 TX,44.21,Entertainment,Spotify,4.6,2024-11-27,0.9798727856629832
215,Subway #7739 NY,34.69,Food,Subway,10.34,2025-01-03,0.9473731967178691
216,Target #2077,429.35,Shopping,Target,81.68,2024-09-28,0.9802832748836968
217,Best Buy #7833,275.45,Shopping,Best Buy,56.16,2024-10-10,0.7735171730046045
218,Spotify #6703,37.02,Entertainment,Spotify,3.85,2024-10-25,0.7910829125937806
219,Amazon #7369,412.98,Shopping,Amazon,96.58,2024-10-30,0.7795883555830933
220,McDonalds #6230 CA,74.88,Food,McDonalds,26.38,2024-08-28,0.9931223604764656
221,PG&E Electric #4506,155.5,Energy,PG&E Electric,69.78,2024-10-10,0.7440692528478833
222,Spotify #5127,55.13,Entertainment,Spotify,4.89,2025-04-10,0.8208974279421166
223,Spotify #4074,8.37,Entertainment,Spotify,0.78,2024-09-29,0.8498685717524366
224,Amazon #4228,158.36,Shopping,Amazon,35.64,2025-06-15,0.7688947209295146
225,Lyft #2031 TX,108.95,Transportation,Lyft,97.89,2025-02-17,0.9756510937321788
226,Chevron #9650,73.29,Transportation,Chevron,59.97,2025-05-11,0.7876237619567491
227,Best Buy #4837 TX,57.23,Shopping,Best Buy,12.36,2025-02-24,0.7245608575690571
228,Delta Airlines #3086,79.62,Transportation,Delta Airlines,64.27,2025-01-18,0.9053135758528854
229,Amazon #9398,48.65,Shopping,Amazon,9.47,2024-09-16,0.7114959646262192
230,Delta Airlines #7798 TX,108.29,Transportation,Delta Airlines,95.95,2024-08-28,0.7173536701613518
231,PG&E Electric #6141 NY,186.98,Energy,PG&E Electric,66.08,2025-02-23,0.9439521958494013
232,Best Buy #9243,278.48,Shopping,Best Buy,49.2,2024-08-30,0.9333983505749559
233,PG&E Electric #8903 CA,74.93,Energy,PG&E Electric,25.41,2025-01-17,0.7482002491169506
234,Best Buy #3209,303.3,Shopping,Best Buy,53.93,2024-11-07,0.7791595281163146
235,Safeway #6363 TX,36.87,Food,Safeway,9.97,2025-05-31,0.7602409844876736
236,Target #9047,486.42,Shopping,Target,81.97,2025-02-18,0.7343577521370404
237,Target #5080,364.55,Shopping,Target,72.85,2025-04-16,0.8133409603218084
238,Shell Gas Station #4048,97.49,Transportation,Shell Gas Station,91.95,2025-02-19,0.76103764881348
239,AMC Theaters #2192,38.82,Entertainment,AMC Theaters,4.64,2025-03-08,0.7485326265357424
240,Whole Foods #4793 CA,17.46,Food,Whole Foods,6.26,2024-07-27,0.8822839380736418
241,Best Buy #7384,328.35,Shopping,Best Buy,59.85,2024-08-07,0.8580751061413368
242,Amazon #5387,23.84,Shopping,Amazon,5.43,2024-10-17,0.755202755554903
243,Subway #9029,17.36,Food,Subway,4.83,2025-05-07,0.8087027451775148
244,Delta Airlines #4971,182.28,Transportation,Delta Airlines,155.99,2025-04-05,0.8456806173959714
245,Spotify #1466,50.54,Entertainment,Spotify,5.2,2024-10-04,0.9346770263803655
246,Starbucks #2251,133.03,Food,Starbucks,43.01,2024-08-19,0.8841387432559765
247,Chevron #3485,44.92,Transportation,Chevron,37.23,2024-10-05,0.7747815583407855
248,Netflix #8710,51.87,Entertainment,Netflix,5.32,2024-11-28,0.7537850280908202
249,Apple Store #7079 NY,293.36,Shopping,Apple Store,60.8,2024-11-26,0.8858667844983157
250,Duke Energy #6669,167.07,Energy,Duke Energy,54.71,2024-09-05,0.8834867431107805
251,PG&E Electric #6812,147.83,Energy,PG&E Electric,54.93,2025-04-05,0.8394471838241258
252,PG&E Electric #6085,276.95,Energy,PG&E Electric,110.29,2024-06-29,0.8300027735049307
253,Best Buy #8529,48.43,Shopping,Best Buy,10.91,2024-11-20,0.9853084485111776
254,Shell Gas Station #6861,130.01,Transportation,Shell Gas Station,86.26,2025-02-18,0.8409552197828225
255,Uber #2380,175.23,Transportation,Uber,136.58,2024-10-05,0.9995623089812253
256,Amazon #7938 CA,156.17,Shopping,Amazon,26.0,2024-08-28,0.9503998850613258
257,Amazon #7803,287.5,Shopping,Amazon,49.73,2024-11-29,0.9455205311746511
258,Duke Energy #1600,218.62,Energy,Duke Energy,80.93,2025-05-14,0.9393526027128652
259,Safeway #4395 NY,6.65,Food,Safeway,1.88,2024-12-25,0.802414142237988
260,Target #8868 TX,294.18,Shopping,Target,68.82,2025-06-14,0.828749390723407
261,Starbucks #3035,46.22,Food,Starbucks,13.34,2024-11-13,0.8879533296653854
262,Spotify #8926,8.26,Entertainment,Spotify,0.77,2024-07-21,0.8780329634153241
263,Apple Store #5823,29.09,Shopping,Apple Store,6.84,2025-05-23,0.8635899542002311
264,Shell Gas Station #5671 TX,128.96,Transportation,Shell Gas Station,102.28,2024-11-02,0.7711888704655389
265,Spotify #9559 NY,92.06,Entertainment,Spotify,8.97,2025-05-13,0.8273665060754796
266,Whole Foods #4789,79.41,Food,Whole Foods,27.85,2025-03-09,0.7061204802949274
267,Spotify #5544,34.48,Entertainment,Spotify,2.96,2025-03-13,0.8062635889632754
268,PG&E Electric #4884 TX,60.96,Energy,PG&E Electric,27.09,2025-01-19,0.7258316336368383
269,ConEd Utility #2677,187.41,Energy,ConEd Utility,62.57,2024-08-06,0.948021391815727
270,PG&E Electric #7591 TX,131.12,Energy,PG&E Electric,44.14,2025-06-01,0.8203468560808348
271,Best Buy #4886,171.6,Shopping,Best Buy,32.42,2024-08-30,0.9039781802281757
272,Safeway #8831,67.9,Food,Safeway,22.75,2024-10-11,0.9131901852230936
273,Safeway #1144 TX,49.84,Food,Safeway,15.78,2025-01-18,0.8099290210035464
274,Netflix #8116,47.56,Entertainment,Netflix,4.46,2025-05-20,0.7413086398243436
275,Apple Store #8301 CA,139.76,Shopping,Apple Store,32.97,2024-12-07,0.7173319399516642
276,Amazon #8608,453.02,Shopping,Amazon,91.18,2024-12-27,0.7709660603224672
277,Safeway #5871 NY,19.49,Food,Safeway,6.41,2025-05-13,0.7574054164532297
278,ConEd Utility #2061,139.05,Energy,ConEd Utility,56.11,2024-08-14,0.8812192819409588
279,Lyft #2582 TX,91.27,Transportation,Lyft,76.75,2024-08-04,0.7047832258725168
280,McDonalds #5779,31.99,Food,McDonalds,8.16,2025-03-17,0.7382866790037507
281,Duke Energy #1609,192.42,Energy,Duke Energy,88.03,2024-10-09,0.7414037984289443
282,Uber #5437,79.71,Transportation,Uber,64.24,2025-01-06,0.7635610429534094
283,Amazon #6962,396.3,Shopping,Amazon,84.41,2025-04-10,0.8815554091650313
284,AMC Theaters #9607 CA,64.22,Entertainment,AMC Theaters,6.67,2024-09-20,0.8998739336852332
285,Delta Airlines #6724 TX,146.74,Transportation,Delta Airlines,114.83,2024-07-01,0.7734989415334705
286,Best Buy #5330,104.03,Shopping,Best Buy,21.62,2024-07-23,0.9023943610908015
287,Lyft #4659,103.75,Transportation,Lyft,66.5,2025-04-15,0.8981440642173881
288,PG&E Electric #2572 CA,142.38,Energy,PG&E Electric,47.47,2025-04-15,0.9730817620233252
289,Spotify #4684,62.8,Entertainment,Spotify,7.34,2025-03-19,0.8205112725270287
290,McDonalds #7178,85.18,Food,McDonalds,27.52,2025-01-05,0.7093783081986809
291,Spotify #8886,92.5,Entertainment,Spotify,10.3,2025-03-14,0.9185062592941563
292,Chevron #9648,30.74,Transportation,Chevron,26.42,2025-04-14,0.7896924670127472
293,ConEd Utility #7490,181.45,Energy,ConEd Utility,79.44,2024-11-23,0.8184643268289463
294,AMC Theaters #5693,74.96,Entertainment,AMC Theaters,8.02,2025-04-10,0.8003721125218984
295,Amazon #1716,317.15,Shopping,Amazon,70.12,2024-10-11,0.954885835790451
296,Whole Foods #8539 TX,146.58,Food,Whole Foods,40.01,2024-09-17,0.984567830212105
297,Netflix #6303 CA,14.99,Entertainment,Netflix,1.52,2024-11-19,0.746867691863139
298,Chevron #4173 TX,41.85,Transportation,Chevron,36.8,2024-11-17,0.9690727264954835
